"","SRR33445252","SRR33445253","SRR33445254","SRR33445260","SRR33445261","SRR33445262"
"ENSMUSG00000058881.13",132.852865367559,164.338047616133,351.312905782934,196.131856758863,199.317506614483,273.196291154321
"ENSMUSG00000058883.16",81.6227137347696,0,0,17.458531511642,25.6464164856533,51.3928046063702
"ENSMUSG00000058886.9",329.924714325882,482.870268292287,217.610581301251,207.107399722163,288.765909800265,332.896765690958
"ENSMUSG00000058897.18",66.186779275497,15.9802026909501,56.1493015314006,10.8055580140645,12.6723551013234,8.49235076102209
"ENSMUSG00000058900.5",35.9676405751857,57.6683013757344,130.937710953089,71.1727713700834,64.0881378660086,65.761194908836
"ENSMUSG00000058921.3",605.995584824955,992.643974797817,1110.14973221248,1089.01740727244,1001.22574528775,1039.93241318323
"ENSMUSG00000058927.6",976.163571519019,1013.25487381729,756.554175125938,853.58457889882,1086.74087829063,783.901536925167
"ENSMUSG00000058934.8",20.578973024362,4.41114746753907,11.6006516503706,11.2899575497709,45.7992386012835,17.7626623495818
"ENSMUSG00000058952.12",23403.8894628991,23780.8310440592,27179.5149819187,22926.0781449219,25161.4119714146,27120.9045793383
"ENSMUSG00000058979.7",351.223461889815,406.067069940697,325.827723088605,298.555729522929,273.971440616286,331.455179509256
"ENSMUSG00000058997.8",4803.29735792253,4470.31306613984,4730.19400358568,5035.21611804983,4208.83934087728,4582.38889790947
"ENSMUSG00000059005.13",2502.56234010188,2665.02774739388,3129.17409595374,2805.04443674861,3140.45431666289,4387.93427122021
"ENSMUSG00000059013.12",211.016840730003,237.44367773024,363.154931768055,200.633448322325,238.859029441132,301.581353014052
"ENSMUSG00000059022.15",71.8918884315484,172.819883279541,146.216039247099,117.062524537455,190.477554319975,146.4308520194
"ENSMUSG00000059027.14",157.754789794475,49.6890484939827,123.739635908837,152.746952842193,253.616631645876,193.074113699411
"ENSMUSG00000059049.14",0,27.0020047370748,7.23424971362014,3.99875558086951,9.26068840863662,48.4077705269142
"ENSMUSG00000059060.15",31.6883024146301,39.240648957148,304.811900831608,79.1970751585465,130.710483001573,83.5710368709983
"ENSMUSG00000059070.16",3617.54714318881,3496.83048456923,3278.57227359475,3187.25166942152,3519.38087282034,3271.02969349367
"ENSMUSG00000059089.4",164.149208771054,148.15959541101,203.629272936158,181.741284721676,141.413802986442,146.212267398158
"ENSMUSG00000059119.9",763.146616319846,750.078067665003,987.535697055956,949.371771287574,946.32565792981,866.91730067592
"ENSMUSG00000059136.4",5.93754856002547,0.42296744135631,15.5950564987433,115.754178012752,5.15613138423359,41.1096325499351
"ENSMUSG00000059142.16",143.367485755116,116.275281931395,149.38311697673,125.263420556436,168.34681685041,195.223036673942
"ENSMUSG00000059149.17",349.341089639147,457.620514329797,444.137935498639,499.186798242952,410.336670393566,388.276713164174
"ENSMUSG00000059173.19",72.0812657946221,32.078001401487,154.594032153672,82.1044029927989,72.6014559607553,89.3144525905586
"ENSMUSG00000059182.7",474.318908445474,480.840563373716,370.76733243596,583.180403744989,502.740929586124,495.43781725716
"ENSMUSG00000059183.12",215.410703137225,155.97717065534,209.697128092321,229.607236357975,147.678562559376,191.926876268
"ENSMUSG00000059208.15",2370.10553412412,2212.52476900689,2035.46809000048,2025.23122472744,1918.41569227737,2221.39167542884
