"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"Up-regulated",TRUE,1.16448593612774e-15,5584,107,68,0.635514018691589,0.0121776504297994,"GO:0003824","GO:MF","catalytic activity",23512,356,"GO:0003674","IDA IEA,IMP ISS IEA,IDA IEA,IDA ISS TAS IEA,ISS IEA,IDA IEA,IDA ISS IEA,IDA IMP IEA,ISS IEA,IDA IEA,IDA IMP IGI IEA,IMP IGI ISS IEA,IDA ISS IEA,IEA,ISS IEA,IDA ISS IEA,IDA IEA,IEA,IDA IEA,IEA,IDA IEA,ISS IEA,IDA IMP ISS IEA,IEA,IDA IEA,IDA ISO IEA,IEA,ISS IEA,IDA IMP IEA,IDA ISS IEA,IDA IMP IGI ISS ISO IEA,IDA IEA,IDA IMP ISS IEA,IEA,IDA IEA,IDA ISS IEA,IEA,IDA IMP ISS IEA,IEA,ISS IEA,ISO IEA,IEA,IDA ISO IEA,ISS IEA,IMP ISS ISO IEA,IDA IEA,IDA IEA,IEA,IDA IMP ISS IEA,IDA IEA,ISS IEA,ISS IEA,IEA,ISS IEA,IEA,IDA IEA,IDA IEA,IDA IMP TAS IEA,ISS IEA,IEA,IDA IEA,IDA ISS IEA,IDA IGI TAS IEA,IEA,IEA,IEA,ISS ISO IEA,IEA","ENSMUSG00000001665,ENSMUSG00000002588,ENSMUSG00000002847,ENSMUSG00000003477,ENSMUSG00000006494,ENSMUSG00000011148,ENSMUSG00000015090,ENSMUSG00000016194,ENSMUSG00000017146,ENSMUSG00000020010,ENSMUSG00000020532,ENSMUSG00000020534,ENSMUSG00000020917,ENSMUSG00000020926,ENSMUSG00000021094,ENSMUSG00000021259,ENSMUSG00000021416,ENSMUSG00000022445,ENSMUSG00000023045,ENSMUSG00000023832,ENSMUSG00000023963,ENSMUSG00000024130,ENSMUSG00000024899,ENSMUSG00000024992,ENSMUSG00000025003,ENSMUSG00000025464,ENSMUSG00000026307,ENSMUSG00000026688,ENSMUSG00000027605,ENSMUSG00000027792,ENSMUSG00000027820,ENSMUSG00000027952,ENSMUSG00000028024,ENSMUSG00000029102,ENSMUSG00000029833,ENSMUSG00000030541,ENSMUSG00000031443,ENSMUSG00000032418,ENSMUSG00000032849,ENSMUSG00000033105,ENSMUSG00000033318,ENSMUSG00000037370,ENSMUSG00000039450,ENSMUSG00000040147,ENSMUSG00000040181,ENSMUSG00000040584,ENSMUSG00000041220,ENSMUSG00000041261,ENSMUSG00000042010,ENSMUSG00000042248,ENSMUSG00000044254,ENSMUSG00000044350,ENSMUSG00000052131,ENSMUSG00000052656,ENSMUSG00000054757,ENSMUSG00000054827,ENSMUSG00000056148,ENSMUSG00000056973,ENSMUSG00000057074,ENSMUSG00000061292,ENSMUSG00000069456,ENSMUSG00000072115,ENSMUSG00000074207,ENSMUSG00000074639,ENSMUSG00000078964,ENSMUSG00000089943,ENSMUSG00000089960,ENSMUSG00000094156"
"Up-regulated",TRUE,5.96763026021446e-10,742,107,22,0.205607476635514,0.0296495956873315,"GO:0016491","GO:MF","oxidoreductase activity",23512,2729,"GO:0003824","IDA IMP IEA,ISS IEA,IDA ISS IEA,IEA,IDA IEA,IDA IEA,IDA ISO IEA,IEA,IDA ISS IEA,IDA IMP ISS IEA,IDA ISO IEA,ISS IEA,IMP ISS ISO IEA,IDA IEA,IEA,IEA,IDA IEA,IDA IEA,IEA,IDA IEA,IDA IGI TAS IEA,IEA","ENSMUSG00000016194,ENSMUSG00000021094,ENSMUSG00000021259,ENSMUSG00000022445,ENSMUSG00000023963,ENSMUSG00000025003,ENSMUSG00000025464,ENSMUSG00000026688,ENSMUSG00000030541,ENSMUSG00000032418,ENSMUSG00000039450,ENSMUSG00000040147,ENSMUSG00000040181,ENSMUSG00000042248,ENSMUSG00000052131,ENSMUSG00000054757,ENSMUSG00000054827,ENSMUSG00000056148,ENSMUSG00000061292,ENSMUSG00000069456,ENSMUSG00000074207,ENSMUSG00000074639"
"Up-regulated",TRUE,7.453819892788e-07,120,107,9,0.0841121495327103,0.075,"GO:0016616","GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",23512,2763,"GO:0016614","IDA IMP IEA,ISS IEA,IDA ISS IEA,IDA IMP ISS IEA,IDA ISO IEA,IEA,IDA,IDA IEA,IDA IGI TAS IEA","ENSMUSG00000016194,ENSMUSG00000021094,ENSMUSG00000030541,ENSMUSG00000032418,ENSMUSG00000039450,ENSMUSG00000052131,ENSMUSG00000056148,ENSMUSG00000069456,ENSMUSG00000074207"
"Up-regulated",TRUE,9.88947041042616e-07,128,107,9,0.0841121495327103,0.0703125,"GO:0016614","GO:MF","oxidoreductase activity, acting on CH-OH group of donors",23512,2761,"GO:0016491","IDA IMP IEA,ISS IEA,IDA ISS IEA,IDA IMP ISS IEA,IDA ISO IEA,IEA,IDA,IDA IEA,IDA IGI TAS IEA","ENSMUSG00000016194,ENSMUSG00000021094,ENSMUSG00000030541,ENSMUSG00000032418,ENSMUSG00000039450,ENSMUSG00000052131,ENSMUSG00000056148,ENSMUSG00000069456,ENSMUSG00000074207"
"Up-regulated",TRUE,5.11755753429081e-05,152,107,8,0.0747663551401869,0.0526315789473684,"GO:0004497","GO:MF","monooxygenase activity",23512,799,"GO:0016491","IDA ISS IEA,IEA,IDA IEA,IDA IEA,IMP ISS ISO IEA,IDA IEA,IDA IEA,IEA","ENSMUSG00000021259,ENSMUSG00000022445,ENSMUSG00000023963,ENSMUSG00000025003,ENSMUSG00000040181,ENSMUSG00000042248,ENSMUSG00000054827,ENSMUSG00000061292"
"Up-regulated",TRUE,5.11755753429081e-05,66,107,6,0.0560747663551402,0.0909090909090909,"GO:0016712","GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",23512,2834,"GO:0004497;GO:0016705","IEA,IEA,IEA,IEA,IEA,IEA","ENSMUSG00000022445,ENSMUSG00000023963,ENSMUSG00000025003,ENSMUSG00000042248,ENSMUSG00000054827,ENSMUSG00000061292"
"Up-regulated",TRUE,7.13983712752725e-05,6255,107,52,0.485981308411215,0.00831334932054357,"GO:0036094","GO:MF","small molecule binding",23512,4848,"GO:0005488","ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA ISS IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,ISS IEA,IEA,ISS IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS,IEA,IEA,IEA","ENSMUSG00000002588,ENSMUSG00000005677,ENSMUSG00000006494,ENSMUSG00000011148,ENSMUSG00000015090,ENSMUSG00000016194,ENSMUSG00000017146,ENSMUSG00000017754,ENSMUSG00000020432,ENSMUSG00000020532,ENSMUSG00000020534,ENSMUSG00000020917,ENSMUSG00000021259,ENSMUSG00000021416,ENSMUSG00000022445,ENSMUSG00000023045,ENSMUSG00000023963,ENSMUSG00000024130,ENSMUSG00000024899,ENSMUSG00000024992,ENSMUSG00000025003,ENSMUSG00000026307,ENSMUSG00000026938,ENSMUSG00000027605,ENSMUSG00000027792,ENSMUSG00000027820,ENSMUSG00000027952,ENSMUSG00000028024,ENSMUSG00000029833,ENSMUSG00000030096,ENSMUSG00000030541,ENSMUSG00000031443,ENSMUSG00000031665,ENSMUSG00000032119,ENSMUSG00000032418,ENSMUSG00000032849,ENSMUSG00000037370,ENSMUSG00000039824,ENSMUSG00000040181,ENSMUSG00000040584,ENSMUSG00000041078,ENSMUSG00000041261,ENSMUSG00000042010,ENSMUSG00000042248,ENSMUSG00000044350,ENSMUSG00000052656,ENSMUSG00000054827,ENSMUSG00000061292,ENSMUSG00000072115,ENSMUSG00000074207,ENSMUSG00000089960,ENSMUSG00000094410"
"Up-regulated",TRUE,7.98964989316329e-05,41,107,5,0.0467289719626168,0.121951219512195,"GO:0018455","GO:MF","alcohol dehydrogenase [NAD(P)+] activity",23512,3103,"GO:0016616","ISS IEA,IEA,IDA,IDA IEA,IDA IGI TAS IEA","ENSMUSG00000021094,ENSMUSG00000052131,ENSMUSG00000056148,ENSMUSG00000069456,ENSMUSG00000074207"
"Up-regulated",TRUE,0.000137020676057,6056,107,50,0.467289719626168,0.00825627476882431,"GO:0043167","GO:MF","ion binding",23512,5156,"GO:0036094","ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,ISS IEA,IEA,ISS IEA,IEA,IEA,IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,ISS,IEA,IEA,IEA","ENSMUSG00000002588,ENSMUSG00000005677,ENSMUSG00000006494,ENSMUSG00000011148,ENSMUSG00000015090,ENSMUSG00000017146,ENSMUSG00000017754,ENSMUSG00000020432,ENSMUSG00000020532,ENSMUSG00000020534,ENSMUSG00000020917,ENSMUSG00000021259,ENSMUSG00000021416,ENSMUSG00000022445,ENSMUSG00000023045,ENSMUSG00000023963,ENSMUSG00000024130,ENSMUSG00000024899,ENSMUSG00000024992,ENSMUSG00000025003,ENSMUSG00000026938,ENSMUSG00000027605,ENSMUSG00000027792,ENSMUSG00000027820,ENSMUSG00000027952,ENSMUSG00000028024,ENSMUSG00000029833,ENSMUSG00000030096,ENSMUSG00000030541,ENSMUSG00000031443,ENSMUSG00000031665,ENSMUSG00000032119,ENSMUSG00000032418,ENSMUSG00000032849,ENSMUSG00000037370,ENSMUSG00000039824,ENSMUSG00000040181,ENSMUSG00000040584,ENSMUSG00000041078,ENSMUSG00000041261,ENSMUSG00000042010,ENSMUSG00000042248,ENSMUSG00000044350,ENSMUSG00000052656,ENSMUSG00000054827,ENSMUSG00000061292,ENSMUSG00000072115,ENSMUSG00000074207,ENSMUSG00000089960,ENSMUSG00000094410"
"Up-regulated",TRUE,0.000141354294048306,190,107,8,0.0747663551401869,0.0421052631578947,"GO:0046906","GO:MF","tetrapyrrole binding",23512,5634,"GO:0005488","IDA ISS IEA,ISS IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSMUSG00000020432,ENSMUSG00000021259,ENSMUSG00000022445,ENSMUSG00000023963,ENSMUSG00000025003,ENSMUSG00000042248,ENSMUSG00000054827,ENSMUSG00000061292"
