"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000112550.7|ENSMUSG00000026987.16|OTTMUSG00000012818.2|OTTMUST00000030741.1|Baz2b-202|Baz2b|7895|protein_coding|",58.1244381691343,9.17163211484951,1.45867882085864,6.28762958898019,3.22349905511555e-10,1.98125100748337e-07
"ENSMUST00000002850.7|ENSMUSG00000030834.7|OTTMUSG00000031288.2|OTTMUST00000077529.2|Abcc6-201|Abcc6|4974|protein_coding|",4736.94099777464,0.539647391801697,0.0863685320433797,6.24819455690937,4.15224264131525e-10,2.50300380451284e-07
"ENSMUST00000089902.7|ENSMUSG00000022875.18|OTTMUSG00000025899.4|OTTMUST00000063827.2|Kng1-203|Kng1|1827|protein_coding|",3718.69653425935,0.601205862095736,0.0967714861639457,6.21263438154915,5.21035874952966e-10,3.08158312005201e-07
"ENSMUST00000110696.7|ENSMUSG00000031540.14|OTTMUSG00000017302.2|OTTMUST00000041977.1|Kat6a-202|Kat6a|9041|protein_coding|",92.7128749255833,8.88012624375152,1.4343505118069,6.19104338211232,5.97672554576555e-10,3.4693784992142e-07
"ENSMUST00000202556.3|ENSMUSG00000006641.12|OTTMUSG00000022376.3|OTTMUST00000053443.1|Slc5a6-206|Slc5a6|3078|protein_coding|",49.0410772295464,8.92658919445387,1.45541589673509,6.13335969084762,8.6042306421786e-10,4.90378570381328e-07
"ENSMUST00000148331.8|ENSMUSG00000028382.15|OTTMUSG00000007334.7|OTTMUST00000016975.3|Ptbp3-205|Ptbp3|2016|protein_coding|",39.491743930526,8.6142646211815,1.40675953043003,6.12348054862525,9.15530367259266e-10,5.01246369708126e-07
"ENSMUST00000102830.9|ENSMUSG00000028402.18|OTTMUSG00000009150.12|OTTMUST00000001587.1|Mpdz-201|Mpdz|7512|protein_coding|",38.8377501560365,8.58968609226527,1.40321841902257,6.12141771788351,9.27464092486165e-10,5.01246369708126e-07
"ENSMUST00000023687.8|ENSMUSG00000022965.8|OTTMUSG00000028337.3|OTTMUST00000070230.2|Ifngr2-201|Ifngr2|3708|protein_coding|",843.152292520423,-1.33993409344194,0.218863627708777,-6.12223286011177,9.22730377081782e-10,5.01246369708126e-07
"ENSMUST00000187973.1|ENSMUSG00000095597.2|OTTMUSG00000047819.1|OTTMUST00000123075.1|Gm6472-202|Gm6472|582|transcribed_processed_pseudogene|",40.452476210734,8.65148865848249,1.41618260064824,6.1090205842964,1.00244400097969e-09,5.32586604317109e-07
"ENSMUST00000029123.2|ENSMUSG00000027596.10|OTTMUSG00000015981.4|OTTMUST00000038037.2|a-201|a|731|protein_coding|",39.6308040775265,-8.88021797867339,1.45873667418877,-6.08760863821556,1.14609606362469e-09,5.98758786839658e-07
"ENSMUST00000022377.10|ENSMUSG00000021830.14|OTTMUSG00000025959.4|OTTMUST00000064034.1|Txndc16-201|Txndc16|4028|protein_coding|",54.3515967750278,9.07458155745998,1.49246914953482,6.08024732724853,1.19997308061108e-09,6.16628789915325e-07
"ENSMUST00000160360.1|ENSMUSG00000061436.15|OTTMUSG00000034370.2|OTTMUST00000087402.1|Hipk2-204|Hipk2|3907|protein_coding|",45.2785853134239,8.81148962722347,1.45598659743151,6.05190297957944,1.43144677019572e-09,7.23711781589595e-07
"ENSMUST00000037623.14|ENSMUSG00000039114.16|OTTMUSG00000027720.4|OTTMUST00000068597.2|Nrn1-201|Nrn1|1619|protein_coding|",10022.2994368051,0.520950265536489,0.0864221657604331,6.02797049752943,1.66031348139281e-09,8.26098196630779e-07
"ENSMUST00000030340.14|ENSMUSG00000028603.15|OTTMUSG00000009429.10|OTTMUST00000021471.2|Scp2-201|Scp2|2640|protein_coding|",42598.1439040237,-1.76812115721095,0.294179268457006,-6.01035268897395,1.85120153691227e-09,9.06683802750812e-07
"ENSMUST00000032185.8|ENSMUSG00000030096.8|OTTMUSG00000058000.2|OTTMUST00000142341.1|Slc6a6-201|Slc6a6|6186|protein_coding|",4102.47992024101,0.831290513323817,0.138515143246131,6.00144138642427,1.95573542745931e-09,9.31839569999002e-07
"ENSMUST00000236583.1|ENSMUSG00000024587.10|OTTMUSG00000073621.5|OTTMUST00000178730.1|Nars-208|Nars|845|nonsense_mediated_decay|",68.7351409866232,-9.67540537240609,1.61232014811911,-6.00092071273386,1.9620178529935e-09,9.31839569999002e-07
"ENSMUST00000204671.2|ENSMUSG00000030122.12|OTTMUSG00000024455.3|OTTMUST00000139875.1|Ptms-205|Ptms|744|processed_transcript|",344.119465110841,-3.21944574761378,0.538809305827476,-5.97511162631001,2.29932687174588e-09,1.04456087132966e-06
"ENSMUST00000056974.3|ENSMUSG00000048756.11|OTTMUSG00000020929.5|OTTMUST00000049478.1|Foxo3-201|Foxo3|2889|protein_coding|",36.2370111436707,8.49000255075756,1.42070517459968,5.97590738919483,2.28812966398101e-09,1.04456087132966e-06
"ENSMUST00000112931.7|ENSMUSG00000031274.16|OTTMUSG00000018954.7|OTTMUST00000045528.7|Col4a5-202|Col4a5|6536|protein_coding|",36.2438725404551,8.48999543534696,1.42070622986105,5.97589794209414,2.28826228240854e-09,1.04456087132966e-06
"ENSMUST00000081216.11|ENSMUSG00000039997.16|OTTMUSG00000026980.5|-|Ifi203-202|Ifi203|3610|protein_coding|",95.3454803832499,7.14660396551275,1.2051862069198,5.92987533750318,3.03164758548834e-09,1.35757178878168e-06
"ENSMUST00000036712.5|ENSMUSG00000037827.5|OTTMUSG00000056536.1|OTTMUST00000139645.1|Gm5884-201|Gm5884|1479|processed_pseudogene|",45.2275601589273,8.81035200366148,1.48798068021209,5.9210123631482,3.1996580269981e-09,1.41262648611666e-06
"ENSMUST00000059954.13|ENSMUSG00000017754.13|OTTMUSG00000001168.3|OTTMUST00000002264.2|Pltp-201|Pltp|1809|protein_coding|",3713.20128298081,1.33990909460781,0.227198627810027,5.89752283067562,3.68999226431086e-09,1.6048072712722e-06
"ENSMUST00000230843.1|ENSMUSG00000094806.2|OTTMUSG00000071001.1|OTTMUST00000171691.1|Cyp2d10-206|Cyp2d10|847|protein_coding|",1324.60780423216,0.654955700425828,0.111095725423245,5.8954176493346,3.7373486506371e-09,1.6048072712722e-06
"ENSMUST00000118600.7|ENSMUSG00000041268.17|OTTMUSG00000030270.2|OTTMUST00000074934.1|Dmxl2-202|Dmxl2|9465|protein_coding|",42.6391215161998,8.72458008734027,1.48435270916185,5.87770011365201,4.16005668797225e-09,1.76217752623214e-06
"ENSMUST00000114179.2|ENSMUSG00000052656.12|OTTMUSG00000023991.2|-|Rnf103-203|Rnf103|2671|protein_coding|",53.8844353724574,-9.32787109630424,1.58827566698387,-5.87295473336681,4.28095397784934e-09,1.78921044519554e-06
"ENSMUST00000120461.8|ENSMUSG00000041891.16|OTTMUSG00000030654.4|OTTMUST00000180138.1|Lman1-202|Lman1|1741|protein_coding|",744.933750295816,1.03317559527094,0.176240265077492,5.86231298969425,4.56463572481256e-09,1.88267199249967e-06
"ENSMUST00000223295.1|ENSMUSG00000090298.2|OTTMUSG00000064004.2|OTTMUST00000156484.2|Sult3a2-202|Sult3a2|930|protein_coding|",34.8847383536593,8.43655051273224,1.44676294905566,5.83132884225366,5.49876962790407e-09,2.23849912670495e-06
"ENSMUST00000074018.3|ENSMUSG00000078672.2|OTTMUSG00000007485.2|OTTMUST00000017278.2|Mup20-201|Mup20|928|protein_coding|",75614.7631141043,-7.29952282044054,1.25726191413019,-5.80588876383054,6.40254598491136e-09,2.57300264670553e-06
"ENSMUST00000206517.1|ENSMUSG00000078681.10|OTTMUSG00000024931.5|OTTMUST00000142564.1|Tm2d3-207|Tm2d3|905|protein_coding|",34.2678127402889,-8.67334991584974,1.4952071974235,-5.80076790079354,6.60119177913659e-09,2.58651196886019e-06
"ENSMUST00000159871.3|ENSMUSG00000031782.15|OTTMUSG00000027370.5|OTTMUST00000067685.5|Coq9-204|Coq9|831|protein_coding|",39.2529532548238,8.60680064843353,1.48320641873802,5.80283400860453,6.52033336210353e-09,2.58651196886019e-06
"ENSMUST00000201260.3|ENSMUSG00000005103.12|OTTMUSG00000056283.2|OTTMUST00000139103.1|Wdr1-205|Wdr1|2139|protein_coding|",33.271349484997,8.36708572366875,1.44747804280469,5.78045778674223,7.44976296639408e-09,2.84780817005596e-06
"ENSMUST00000168119.7|ENSMUSG00000041698.11|OTTMUSG00000036867.2|OTTMUST00000094699.1|Slco1a1-202|Slco1a1|3904|protein_coding|",1332.9820987969,-4.64241835781963,0.802987797819349,-5.78143076448598,7.406796355067e-09,2.84780817005596e-06
"ENSMUST00000034588.8|ENSMUSG00000032083.8|OTTMUSG00000028707.2|OTTMUST00000071093.1|Apoa1-201|Apoa1|1035|protein_coding|",240730.739068447,-0.708195207154557,0.123617872372328,-5.72890629456495,1.01080207933015e-08,3.8174219251425e-06
"ENSMUST00000166939.7|ENSMUSG00000002885.14|OTTMUSG00000022225.3|OTTMUST00000150317.1|Adgre5-208|Adgre5|2980|protein_coding|",32.3724030450709,8.32735844455165,1.45540065685752,5.72169485104669,1.05466608505794e-08,3.93566227407456e-06
"ENSMUST00000153920.1|ENSMUSG00000000538.18|OTTMUSG00000005819.3|OTTMUST00000012906.1|Tom1l2-211|Tom1l2|3791|processed_transcript|",43.7684016958472,8.76215172911135,1.5373150411017,5.69964613293061,1.20056373596828e-08,4.42739657266609e-06
"ENSMUST00000020971.13|ENSMUSG00000020642.13|OTTMUSG00000067125.3|OTTMUST00000162644.1|Rnf144a-201|Rnf144a|5164|protein_coding|",46.2221315148433,8.84120240128894,1.5583240853387,5.67353253695448,1.39882517603787e-08,5.0985551125678e-06
"ENSMUST00000147967.1|ENSMUSG00000020538.15|OTTMUSG00000005809.3|OTTMUST00000012874.1|Srebf1-208|Srebf1|686|processed_transcript|",43.6475553774353,8.7605765771754,1.55113390184548,5.64785320387389,1.62463807909744e-08,5.85355232498717e-06
"ENSMUST00000094700.10|ENSMUSG00000070733.13|OTTMUSG00000024870.10|-|Fryl-201|Fryl|9852|protein_coding|",71.7609228706613,-7.30943841594427,1.29787670099039,-5.6318434643033,1.78293476442722e-08,6.35089467337905e-06
"ENSMUST00000235295.1|ENSMUSG00000035372.2|OTTMUSG00000073816.1|OTTMUST00000179090.1|1810055G02Rik-202|1810055G02Rik|1643|protein_coding|",75.0427240071441,-9.80311605443573,1.74234132721601,-5.62640390910064,1.84005210607393e-08,6.48070486707791e-06
"ENSMUST00000153832.7|ENSMUSG00000029416.17|OTTMUSG00000028813.4|OTTMUST00000071347.1|Slc15a4-205|Slc15a4|2673|nonsense_mediated_decay|",63.3606997968142,9.29629752186746,1.65369799936034,5.62152069208726,1.89283821516647e-08,6.59254518806756e-06
"ENSMUST00000237098.1|ENSMUSG00000038754.5|OTTMUSG00000023197.3|OTTMUST00000056120.3|Elovl3-202|Elovl3|1881|protein_coding|",798.796645553243,-6.65179115618429,1.18896413754874,-5.59461042273161,2.21117704181968e-08,7.6166544563604e-06
"ENSMUST00000207225.1|ENSMUSG00000039361.11|OTTMUSG00000059751.2|OTTMUST00000146465.1|Picalm-205|Picalm|3489|protein_coding|",45.8775599237999,8.83048075300352,1.57926029191463,5.59152965360627,2.25077843990364e-08,7.66879358448037e-06
"ENSMUST00000105492.1|ENSMUSG00000019864.14|OTTMUSG00000023044.3|OTTMUST00000055534.2|Rtn4ip1-202|Rtn4ip1|2059|protein_coding|",33.6792099313716,-8.64978635043256,1.55039473703181,-5.57908650218483,2.41784986345797e-08,8.14945395913478e-06
"ENSMUST00000167263.8|ENSMUSG00000025497.15|OTTMUSG00000060283.1|OTTMUST00000147555.1|Cdhr5-202|Cdhr5|2628|protein_coding|",1102.64126928846,-0.778373472830769,0.139662609499097,-5.57324165445872,2.50042345012032e-08,8.3381141986672e-06
"ENSMUST00000208214.1|ENSMUSG00000032604.16|OTTMUSG00000034113.15|OTTMUST00000145184.1|Qars-231|Qars|2398|nonsense_mediated_decay|",747.625256491661,-0.685646610322165,0.123487860767793,-5.55234017383667,2.81870393576617e-08,9.30053616531856e-06
"ENSMUST00000212451.1|ENSMUSG00000031858.16|OTTMUSG00000062224.1|OTTMUST00000151817.1|Mau2-206|Mau2|1931|protein_coding|",34.1727214516452,8.40585545070566,1.51968119255543,5.53132821007725,3.17815022824735e-08,1.03773226098585e-05
"ENSMUST00000100933.9|ENSMUSG00000040712.16|OTTMUSG00000006066.2|OTTMUST00000013675.1|Camta2-202|Camta2|4383|protein_coding|",100.70538695052,-10.2284133798105,1.85091697986152,-5.52613298764796,3.27366023876071e-08,1.0578984932391e-05
"ENSMUST00000071005.8|ENSMUSG00000073830.11|OTTMUSG00000012493.3|-|Mup14-201|Mup14|652|protein_coding|",21332.1076475461,-13.0789489083667,2.36890960087153,-5.5210840057193,3.36914645920212e-08,1.07764556030765e-05
"ENSMUST00000191804.1|ENSMUSG00000026510.10|OTTMUSG00000027043.4|OTTMUST00000127869.1|Trp53bp2-203|Trp53bp2|2685|retained_intron|",36.2404061898064,-8.75580561855191,1.59131773318923,-5.50223593688234,3.75004644903407e-08,1.15244074501394e-05
"ENSMUST00000191463.1|ENSMUSG00000034157.12|OTTMUSG00000047415.3|OTTMUST00000122458.1|Cipc-211|Cipc|1499|protein_coding|",32.0137354351811,8.31170780296148,1.51060099738043,5.50225229387178,3.74969845005933e-08,1.15244074501394e-05
"ENSMUST00000119512.7|ENSMUSG00000044252.18|OTTMUSG00000030147.5|OTTMUST00000074688.1|Osbpl1a-205|Osbpl1a|1947|protein_coding|",112.203216799909,-9.41997412706636,1.7114345714803,-5.50413920814897,3.70976338202048e-08,1.15244074501394e-05
"ENSMUST00000149871.7|ENSMUSG00000031392.18|OTTMUSG00000017687.23|OTTMUST00000045163.1|Irak1-222|Irak1|2846|retained_intron|",32.5669345910814,8.33583947934632,1.51437839710026,5.50446275204918,3.70295738315784e-08,1.15244074501394e-05
"ENSMUST00000058038.11|ENSMUSG00000045639.14|OTTMUSG00000028743.3|OTTMUST00000071197.1|Zfp629-201|Zfp629|6120|protein_coding|",33.5723743473206,8.37976051646657,1.5308358059734,5.47397734216063,4.40045353469902e-08,1.33919045144345e-05
"ENSMUST00000063989.6|ENSMUSG00000050945.8|OTTMUSG00000072820.1|OTTMUST00000176187.1|Zfp438-201|Zfp438|3211|protein_coding|",29.0774554202352,8.17258472034988,1.4976320980639,5.45700424751525,4.84234775499596e-08,1.45950223777023e-05
